"Time","CPU:us","CPU:sy","Numeber Of Agents","RMQ0 Length","RMQ1 Length","RMQ2 Length","RMQ3 Length","RMQ4 Length","RMQ5 Length","RMQ6 Length","RMQ7 Length","RMQ8 Length","RMQ9 Length","RMQ10 Length","RMQ11 Length","RMQ12 Length","RMQ13 Length","RMQ14 Length","RMQ15 Length","RMQ16 Length","RMQ17 Length","RMQ0 Event","RMQ1 Event","RMQ2 Event","RMQ3 Event","RMQ4 Event","RMQ5 Event","RMQ6 Event","RMQ7 Event","RMQ8 Event","RMQ9 Event","RMQ10 Event","RMQ11 Event","RMQ12 Event","RMQ13 Event","RMQ14 Event","RMQ15 Event","RMQ16 Event","RMQ17 Event"
"2015-12-06 09:07:06.547","36","14","10","4","3","3","3","3","4","4","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:07.554","70","28","10","0","0","0","17","19","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:08.547","56","35","10","38","1","38","4","1","3","8","27","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:09.547","62","31","10","11","5","9","8","17","4","5","16","11","4","18","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:10.547","66","28","11","228","591","20","532","36","462","30","592","13","527","525","281","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:11.547","62","33","11","52","640","25","569","29","497","22","642","43","569","569","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:12.547","64","30","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:13.547","63","29","12","0","18","0","13","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:14.547","59","36","12","0","0","1","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:15.547","55","41","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:16.547","56","39","12","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:17.547","48","45","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:18.547","58","39","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:19.547","83","17","12","0","0","2","0","0","0","0","0","0","5017","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:20.547","57","39","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:21.547","47","47","13","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:22.547","48","46","13","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:23.547","52","44","13","10","10","13","11","11","10","10","13","10","11","12","13","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:24.547","50","46","13","235","0","0","0","0","0","0","0","274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:25.547","59","36","13","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:26.547","51","43","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:27.547","51","42","13","125","125","142","143","126","126","123","160","143","143","144","148","144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:28.547","60","35","13","14","12","15","15","12","12","12","18","14","13","13","16","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:29.546","54","41","13","19","19","22","21","19","19","19","23","20","20","21","20","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:30.546","50","44","13","1","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:31.546","45","49","13","3","2","2","3","2","2","3","3","3","3","2","3","3","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:32.546","45","49","13","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:33.547","43","49","13","1","0","0","0","0","0","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:34.546","51","45","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:35.547","53","42","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:36.546","55","38","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:37.546","52","36","14","0","2","1","0","7","9","7","8","5","5","3","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:38.547","56","31","14","3","3","3","3","1","3","4","2","1","1","1","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:39.546","52","35","14","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:40.547","55","33","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:41.547","58","31","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:42.547","57","32","14","93","65","196","89","63","90","74","80","80","70","67","64","105","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:43.546","53","34","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:44.547","58","33","14","17","22","28","28","15","19","26","29","14","12","12","33","28","23","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:45.546","58","30","14","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:46.546","57","34","14","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:47.547","45","37","14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:48.547","52","37","14","0","0","0","0","0","1","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:49.546","53","34","14","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:50.546","53","35","15","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:51.547","53","36","16","4","0","0","0","0","0","0","2","0","0","0","0","0","5","0","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:52.547","52","35","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:53.546","58","31","17","0","0","0","0","0","15","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:54.547","58","30","17","207","193","299","249","172","348","806","691","360","636","203","246","862","233","339","195","1127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:55.547","49","38","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:56.548","55","33","17","231","7","232","9","21","10","31","6","232","8","9","274","8","23","35","8","295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:57.548","53","33","17","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:58.547","55","35","17","12","7","8","197","166","15","12","173","4","5","9","60","15","8","14","10","306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:07:59.546","56","32","17","0","0","0","1","0","2","0","0","2","1","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:08:00.546","51","34","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2015-12-06 09:08:01.547","57","31","17","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:08:02.547","54","34","17","9","7","17","9","0","8","12","10","10","0","11","69","0","8","0","8","14","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:08:03.547","51","34","17","0","0","0","0","1","0","1","18","3","1","14","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:08:04.546","47","29","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-06 09:08:05.546","30","14","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
